id;host_id;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
29248203;212665255;Recreio dos Bandeirantes;-23.00981;-43.46905;Private room;129;1;0;;;5;271
29251268;45257646;Copacabana;-22.96465;-43.19097;Entire home/apt;300;2;0;;;3;364
29259074;215570580;Copacabana;-22.97262;-43.18734;Private room;450;2;6;22/11/2020;0.23;5;0
29275927;108487234;Tijuca;-22.91825;-43.22355;Private room;80;1;77;07/08/2020;2.6;2;80
29277258;215570580;Copacabana;-22.97227;-43.18647;Private room;450;3;0;;;5;0
29283747;13392098;Copacabana;-22.97298;-43.18765;Entire home/apt;160;3;1;27/02/2020;0.08;18;179
29286451;10111118;Copacabana;-22.98123;-43.19204;Entire home/apt;200;4;12;17/03/2020;0.44;2;363
29288748;10111118;Copacabana;-22.98147;-43.19114;Entire home/apt;1000;4;2;04/02/2020;0.14;2;363
29297091;87322922;Barra da Tijuca;-23.01004;-43.31695;Entire home/apt;1100;5;39;21/02/2021;1.37;3;1
29297844;91056611;Copacabana;-22.97143;-43.18442;Entire home/apt;360;2;8;07/10/2019;0.3;1;180
29301941;212665255;Recreio dos Bandeirantes;-23.00959;-43.46906;Shared room;85;1;0;;;5;256
29302025;2345756;São Conrado;-22.99182;-43.27525;Private room;250;2;5;21/03/2021;0.18;3;178
29302110;212665255;Recreio dos Bandeirantes;-23.00959;-43.46906;Shared room;85;1;1;24/12/2018;0.04;5;253
29302419;13309412;Copacabana;-22.96823;-43.18838;Private room;60;3;3;02/01/2019;0.1;1;0
29302500;212665255;Recreio dos Bandeirantes;-23.00959;-43.46906;Shared room;85;1;0;;;5;254
29303956;208479821;Santa Cruz;-22.94741;-43.65301;Entire home/apt;1000;1;0;;;1;363
29305343;220757390;Cascadura;-22.88612;-43.3241;Private room;500;1;0;;;1;363
29310417;220529826;Barra da Tijuca;-23.00701;-43.32228;Private room;110;1;1;25/02/2020;0.08;3;179
29312260;174527154;Centro;-22.91471;-43.18825;Entire home/apt;200;3;5;28/02/2019;0.17;1;82
29312543;113866582;Copacabana;-22.97384;-43.1899;Entire home/apt;600;2;4;03/01/2021;0.15;1;0
29316658;216935051;Barra da Tijuca;-22.98905;-43.35808;Private room;140;4;1;16/01/2020;0.07;2;364
29326845;148530459;Flamengo;-22.93096;-43.17376;Entire home/apt;500;10;4;07/12/2020;0.2;1;83
29328958;88726370;Tijuca;-22.92192;-43.22042;Entire home/apt;115;2;35;15/03/2021;1.27;1;0
29329917;185549749;Laranjeiras;-22.94122;-43.18973;Private room;60;2;3;19/01/2019;0.1;2;20
29333973;117275767;Copacabana;-22.96325;-43.1799;Entire home/apt;199;3;24;03/05/2020;0.84;1;86
29336046;105443099;Ipanema;-22.98353;-43.21445;Entire home/apt;151;1;61;28/02/2021;2.25;1;169
29336521;172241388;Jacarepaguá;-22.96612;-43.39543;Private room;105;1;0;;;1;365
29337710;3535933;Botafogo;-22.94153;-43.17723;Entire home/apt;300;2;0;;;1;263
29338551;149823708;Centro;-22.91285;-43.18785;Entire home/apt;100;4;30;20/02/2021;1.07;1;19
29343238;120936588;Copacabana;-22.98035;-43.19154;Private room;150;2;9;06/10/2019;0.32;2;363
29350906;5052093;Leme;-22.9619;-43.17091;Entire home/apt;210;2;0;;;4;364
29351491;13948378;Cidade Universitária;-22.86755;-43.21907;Shared room;60;1;3;13/12/2020;0.1;1;365
29355402;91654021;Ipanema;-22.9866;-43.20553;Entire home/apt;699;2;0;;;198;270
29361009;45941144;Ipanema;-22.98526;-43.20093;Entire home/apt;400;2;3;02/01/2020;0.11;1;92
29363734;25067261;Ipanema;-22.98348;-43.20984;Entire home/apt;234;2;9;19/02/2021;0.31;16;36
29363926;98012208;Copacabana;-22.96341;-43.17358;Entire home/apt;188;4;2;18/10/2018;0.07;1;365
29364305;25067261;Leblon;-22.97956;-43.21969;Entire home/apt;424;2;7;01/03/2020;0.26;16;38
29370843;13272749;Ipanema;-22.98458;-43.19579;Entire home/apt;299;3;1;04/02/2020;0.07;3;89
29387657;174357471;Ipanema;-22.98416;-43.1945;Private room;57;2;46;30/08/2019;1.7;1;126
29388984;221399351;Barra da Tijuca;-23.01002;-43.3445;Entire home/apt;300;5;1;11/02/2019;0.04;3;355
29413560;24859801;Copacabana;-22.96178;-43.17672;Private room;90;7;2;26/03/2019;0.08;3;253
29413580;24859801;Copacabana;-22.96178;-43.17672;Entire home/apt;800;6;3;08/01/2021;0.11;3;0
